condition,task_id,action,concept,action_specific,concept_specific,hint_control,grounded,score
A2 no mastery loop,chat_determinants_78,chat,determinants,1,0,1,0,0.5
A2 no mastery loop,grade_determinants_79,grade,determinants,1,1,1,1,1
A2 no mastery loop,hint_determinants_80,hint,determinants,1,1,1,1,1
A2 no mastery loop,chat_determinants_81,chat,determinants,1,1,1,1,1
A2 no mastery loop,grade_eigenvalues_82,grade,eigenvalues,1,1,1,1,1
A2 no mastery loop,hint_eigenvalues_83,hint,eigenvalues,1,1,1,1,1
A2 no mastery loop,chat_eigenvalues_84,chat,eigenvalues,1,0,1,0,0.5
A2 no mastery loop,grade_eigenvalues_85,grade,eigenvalues,1,1,1,1,1
A2 no mastery loop,hint_eigenvalues_86,hint,eigenvalues,1,1,1,1,1
A2 no mastery loop,chat_eigenvalues_87,chat,eigenvalues,1,0,1,0,0.5
A2 no mastery loop,grade_eigenvalues_88,grade,eigenvalues,1,1,1,1,1
A2 no mastery loop,hint_eigenvalues_89,hint,eigenvalues,1,0,1,0,0.5
A2 no mastery loop,chat_eigenvalues_90,chat,eigenvalues,1,1,1,1,1
A2 no mastery loop,grade_diagonalization_91,grade,diagonalization,1,1,1,1,1
A2 no mastery loop,hint_diagonalization_92,hint,diagonalization,1,1,1,1,1
A2 no mastery loop,chat_diagonalization_93,chat,diagonalization,1,0,1,0,0.5
A2 no mastery loop,grade_diagonalization_94,grade,diagonalization,1,1,1,1,1
A2 no mastery loop,hint_diagonalization_95,hint,diagonalization,1,0,1,0,0.5
A2 no mastery loop,chat_diagonalization_96,chat,diagonalization,1,1,1,1,1
A2 no mastery loop,grade_diagonalization_97,grade,diagonalization,1,1,1,1,1
A2 no mastery loop,hint_diagonalization_98,hint,diagonalization,1,1,1,1,1
A2 no mastery loop,chat_diagonalization_99,chat,diagonalization,1,1,1,1,1
A2 no mastery loop,grade_orthogonality_100,grade,orthogonality,1,1,1,1,1
A2 no mastery loop,hint_orthogonality_101,hint,orthogonality,1,1,1,1,1
A2 no mastery loop,chat_orthogonality_102,chat,orthogonality,1,1,1,1,1
A2 no mastery loop,grade_orthogonality_103,grade,orthogonality,1,1,1,1,1
A2 no mastery loop,hint_orthogonality_104,hint,orthogonality,1,1,1,1,1
A2 no mastery loop,chat_orthogonality_105,chat,orthogonality,1,1,1,1,1
A2 no mastery loop,grade_orthogonality_106,grade,orthogonality,1,1,1,1,1
A2 no mastery loop,hint_orthogonality_107,hint,orthogonality,1,1,1,1,1
A2 no mastery loop,chat_orthogonality_108,chat,orthogonality,1,1,1,1,1
A2 no mastery loop,grade_projection_109,grade,projection,1,1,1,1,1
A2 no mastery loop,hint_projection_110,hint,projection,1,1,1,1,1
A2 no mastery loop,chat_projection_111,chat,projection,1,1,1,1,1
A2 no mastery loop,grade_projection_112,grade,projection,1,1,1,1,1
A2 no mastery loop,hint_projection_113,hint,projection,1,1,1,1,1
A2 no mastery loop,chat_projection_114,chat,projection,1,1,1,1,1
A2 no mastery loop,grade_projection_115,grade,projection,1,1,1,1,1
A2 no mastery loop,hint_projection_116,hint,projection,1,1,1,1,1
A2 no mastery loop,chat_projection_117,chat,projection,1,1,1,1,1
A2 no mastery loop,grade_least_squares_118,grade,least_squares,1,1,1,1,1
A2 no mastery loop,hint_least_squares_119,hint,least_squares,1,0,1,0,0.5
A2 no mastery loop,chat_least_squares_120,chat,least_squares,1,0,1,0,0.5
A2 no mastery loop,grade_least_squares_121,grade,least_squares,1,1,1,1,1
A2 no mastery loop,hint_least_squares_122,hint,least_squares,1,0,1,0,0.5
A2 no mastery loop,chat_least_squares_123,chat,least_squares,1,0,1,0,0.5
A2 no mastery loop,grade_least_squares_124,grade,least_squares,1,1,1,1,1
A2 no mastery loop,hint_least_squares_125,hint,least_squares,1,1,1,1,1
A2 no mastery loop,chat_least_squares_126,chat,least_squares,1,1,1,1,1
A2 no mastery loop,grade_positive_definite_127,grade,positive_definite,1,1,1,1,1
A2 no mastery loop,hint_positive_definite_128,hint,positive_definite,1,1,1,1,1
A2 no mastery loop,chat_positive_definite_129,chat,positive_definite,1,0,1,0,0.5
A2 no mastery loop,grade_positive_definite_130,grade,positive_definite,1,1,1,1,1
A2 no mastery loop,hint_positive_definite_131,hint,positive_definite,1,1,1,1,1
A2 no mastery loop,chat_positive_definite_132,chat,positive_definite,1,0,1,0,0.5
A2 no mastery loop,grade_positive_definite_133,grade,positive_definite,1,1,1,1,1
A2 no mastery loop,hint_positive_definite_134,hint,positive_definite,1,1,1,1,1
A2 no mastery loop,chat_positive_definite_135,chat,positive_definite,1,1,1,1,1
A2 no mastery loop,grade_svd_136,grade,svd,1,1,1,1,1
A2 no mastery loop,hint_svd_137,hint,svd,1,1,1,1,1
A2 no mastery loop,chat_svd_138,chat,svd,1,0,1,0,0.5
A2 no mastery loop,grade_svd_139,grade,svd,1,1,1,1,1
A2 no mastery loop,hint_svd_140,hint,svd,1,1,1,0,0.75
A2 no mastery loop,chat_svd_141,chat,svd,1,0,1,0,0.5
A2 no mastery loop,grade_svd_142,grade,svd,1,1,1,1,1
A2 no mastery loop,hint_svd_143,hint,svd,1,1,1,1,1
A2 no mastery loop,chat_svd_144,chat,svd,1,1,1,1,1
A3 no retrieval,grade_linear_systems_1,grade,linear_systems,1,1,1,1,1
A3 no retrieval,hint_linear_systems_2,hint,linear_systems,1,0,1,0,0.5
A3 no retrieval,chat_linear_systems_3,chat,linear_systems,1,1,1,1,1
A3 no retrieval,grade_linear_systems_4,grade,linear_systems,1,1,1,1,1
A3 no retrieval,hint_linear_systems_5,hint,linear_systems,1,1,1,1,1
A3 no retrieval,chat_linear_systems_6,chat,linear_systems,1,1,1,1,1
A3 no retrieval,grade_linear_systems_7,grade,linear_systems,1,1,1,1,1
A3 no retrieval,hint_linear_systems_8,hint,linear_systems,1,1,1,1,1
A3 no retrieval,chat_linear_systems_9,chat,linear_systems,1,1,1,1,1
A3 no retrieval,grade_row_reduction_10,grade,row_reduction,1,1,1,1,1
A3 no retrieval,hint_row_reduction_11,hint,row_reduction,1,1,1,1,1
A3 no retrieval,chat_row_reduction_12,chat,row_reduction,1,0,1,0,0.5
A3 no retrieval,grade_row_reduction_13,grade,row_reduction,1,1,1,1,1
A3 no retrieval,hint_row_reduction_14,hint,row_reduction,1,1,1,1,1
A3 no retrieval,chat_row_reduction_15,chat,row_reduction,1,1,1,1,1
A3 no retrieval,grade_row_reduction_16,grade,row_reduction,1,1,1,1,1
A3 no retrieval,hint_row_reduction_17,hint,row_reduction,1,1,1,1,1
A3 no retrieval,chat_row_reduction_18,chat,row_reduction,1,1,1,1,1
A3 no retrieval,grade_rank_19,grade,rank,1,1,1,1,1
A3 no retrieval,hint_rank_20,hint,rank,1,1,1,1,1
A3 no retrieval,chat_rank_21,chat,rank,1,0,1,0,0.5
A3 no retrieval,grade_rank_22,grade,rank,1,1,1,1,1
A3 no retrieval,hint_rank_23,hint,rank,1,1,1,1,1
A3 no retrieval,chat_rank_24,chat,rank,1,0,1,0,0.5
A3 no retrieval,grade_rank_25,grade,rank,1,1,1,1,1
A3 no retrieval,hint_rank_26,hint,rank,1,1,1,1,1
A3 no retrieval,chat_rank_27,chat,rank,1,1,1,1,1
A3 no retrieval,grade_nullspace_28,grade,nullspace,1,1,1,1,1
A3 no retrieval,hint_nullspace_29,hint,nullspace,1,1,1,1,1
A3 no retrieval,chat_nullspace_30,chat,nullspace,1,1,1,1,1
A3 no retrieval,grade_nullspace_31,grade,nullspace,1,1,1,1,1
A3 no retrieval,hint_nullspace_32,hint,nullspace,1,1,1,1,1
A3 no retrieval,chat_nullspace_33,chat,nullspace,1,0,1,0,0.5
A3 no retrieval,grade_nullspace_34,grade,nullspace,1,1,1,1,1
A3 no retrieval,hint_nullspace_35,hint,nullspace,1,1,1,1,1
A3 no retrieval,chat_nullspace_36,chat,nullspace,1,1,1,1,1
A3 no retrieval,grade_column_space_37,grade,column_space,1,1,1,1,1
A3 no retrieval,hint_column_space_38,hint,column_space,1,1,1,1,1
A3 no retrieval,chat_column_space_39,chat,column_space,1,1,1,1,1
A3 no retrieval,grade_column_space_40,grade,column_space,1,1,1,1,1
A3 no retrieval,hint_column_space_41,hint,column_space,1,1,1,1,1
A3 no retrieval,chat_column_space_42,chat,column_space,1,1,1,1,1
A3 no retrieval,grade_column_space_43,grade,column_space,1,1,1,1,1
A3 no retrieval,hint_column_space_44,hint,column_space,1,1,1,1,1
A3 no retrieval,chat_column_space_45,chat,column_space,1,1,1,1,1
A3 no retrieval,grade_basis_dimension_46,grade,basis_dimension,1,1,1,1,1
A3 no retrieval,hint_basis_dimension_47,hint,basis_dimension,1,0,1,0,0.5
A3 no retrieval,chat_basis_dimension_48,chat,basis_dimension,1,1,1,1,1
A3 no retrieval,grade_basis_dimension_49,grade,basis_dimension,1,1,1,1,1
A3 no retrieval,hint_basis_dimension_50,hint,basis_dimension,1,1,1,1,1
A3 no retrieval,chat_basis_dimension_51,chat,basis_dimension,1,0,1,0,0.5
A3 no retrieval,grade_basis_dimension_52,grade,basis_dimension,1,1,1,1,1
A3 no retrieval,hint_basis_dimension_53,hint,basis_dimension,1,1,1,1,1
A3 no retrieval,chat_basis_dimension_54,chat,basis_dimension,1,1,1,1,1
A3 no retrieval,grade_linear_maps_55,grade,linear_maps,1,1,1,1,1
A3 no retrieval,hint_linear_maps_56,hint,linear_maps,1,1,1,1,1
A3 no retrieval,chat_linear_maps_57,chat,linear_maps,1,1,1,1,1
A3 no retrieval,grade_linear_maps_58,grade,linear_maps,1,1,1,1,1
A3 no retrieval,hint_linear_maps_59,hint,linear_maps,1,1,1,1,1
A3 no retrieval,chat_linear_maps_60,chat,linear_maps,1,0,1,0,0.5
A3 no retrieval,grade_linear_maps_61,grade,linear_maps,1,1,1,1,1
A3 no retrieval,hint_linear_maps_62,hint,linear_maps,1,1,1,1,1
A3 no retrieval,chat_linear_maps_63,chat,linear_maps,1,1,1,1,1
A3 no retrieval,grade_change_of_basis_64,grade,change_of_basis,1,1,1,1,1
A3 no retrieval,hint_change_of_basis_65,hint,change_of_basis,1,1,1,1,1
A3 no retrieval,chat_change_of_basis_66,chat,change_of_basis,1,1,1,1,1
A3 no retrieval,grade_change_of_basis_67,grade,change_of_basis,1,1,1,1,1
A3 no retrieval,hint_change_of_basis_68,hint,change_of_basis,1,1,1,1,1
A3 no retrieval,chat_change_of_basis_69,chat,change_of_basis,1,1,1,1,1
A3 no retrieval,grade_change_of_basis_70,grade,change_of_basis,1,1,1,1,1
A3 no retrieval,hint_change_of_basis_71,hint,change_of_basis,1,1,1,1,1
A3 no retrieval,chat_change_of_basis_72,chat,change_of_basis,1,1,1,1,1
A3 no retrieval,grade_determinants_73,grade,determinants,1,0,1,0,0.5
A3 no retrieval,hint_determinants_74,hint,determinants,1,1,1,1,1
A3 no retrieval,chat_determinants_75,chat,determinants,1,0,1,0,0.5
A3 no retrieval,grade_determinants_76,grade,determinants,1,1,1,1,1
A3 no retrieval,hint_determinants_77,hint,determinants,1,1,1,1,1
A3 no retrieval,chat_determinants_78,chat,determinants,1,0,1,0,0.5
A3 no retrieval,grade_determinants_79,grade,determinants,1,1,1,1,1
A3 no retrieval,hint_determinants_80,hint,determinants,1,1,1,1,1
A3 no retrieval,chat_determinants_81,chat,determinants,1,1,1,1,1
A3 no retrieval,grade_eigenvalues_82,grade,eigenvalues,1,1,1,1,1
A3 no retrieval,hint_eigenvalues_83,hint,eigenvalues,1,1,1,1,1
A3 no retrieval,chat_eigenvalues_84,chat,eigenvalues,1,0,1,0,0.5
A3 no retrieval,grade_eigenvalues_85,grade,eigenvalues,1,1,1,1,1
A3 no retrieval,hint_eigenvalues_86,hint,eigenvalues,1,1,1,1,1
A3 no retrieval,chat_eigenvalues_87,chat,eigenvalues,1,0,1,0,0.5
A3 no retrieval,grade_eigenvalues_88,grade,eigenvalues,1,1,1,1,1
A3 no retrieval,hint_eigenvalues_89,hint,eigenvalues,1,0,1,0,0.5
A3 no retrieval,chat_eigenvalues_90,chat,eigenvalues,1,1,1,1,1
A3 no retrieval,grade_diagonalization_91,grade,diagonalization,1,1,1,1,1
A3 no retrieval,hint_diagonalization_92,hint,diagonalization,1,1,1,1,1
A3 no retrieval,chat_diagonalization_93,chat,diagonalization,1,0,1,0,0.5
A3 no retrieval,grade_diagonalization_94,grade,diagonalization,1,1,1,1,1
A3 no retrieval,hint_diagonalization_95,hint,diagonalization,1,0,1,0,0.5
A3 no retrieval,chat_diagonalization_96,chat,diagonalization,1,1,1,1,1
A3 no retrieval,grade_diagonalization_97,grade,diagonalization,1,1,1,1,1
A3 no retrieval,hint_diagonalization_98,hint,diagonalization,1,1,1,1,1
A3 no retrieval,chat_diagonalization_99,chat,diagonalization,1,1,1,1,1
A3 no retrieval,grade_orthogonality_100,grade,orthogonality,1,1,1,1,1
A3 no retrieval,hint_orthogonality_101,hint,orthogonality,1,1,1,1,1
A3 no retrieval,chat_orthogonality_102,chat,orthogonality,1,1,1,1,1
A3 no retrieval,grade_orthogonality_103,grade,orthogonality,1,1,1,1,1
A3 no retrieval,hint_orthogonality_104,hint,orthogonality,1,1,1,1,1
A3 no retrieval,chat_orthogonality_105,chat,orthogonality,1,1,1,1,1
A3 no retrieval,grade_orthogonality_106,grade,orthogonality,1,1,1,1,1
A3 no retrieval,hint_orthogonality_107,hint,orthogonality,1,1,1,1,1
A3 no retrieval,chat_orthogonality_108,chat,orthogonality,1,1,1,1,1
A3 no retrieval,grade_projection_109,grade,projection,1,1,1,1,1
A3 no retrieval,hint_projection_110,hint,projection,1,1,1,1,1
A3 no retrieval,chat_projection_111,chat,projection,1,1,1,1,1
A3 no retrieval,grade_projection_112,grade,projection,1,1,1,1,1
A3 no retrieval,hint_projection_113,hint,projection,1,1,1,1,1
A3 no retrieval,chat_projection_114,chat,projection,1,1,1,1,1
A3 no retrieval,grade_projection_115,grade,projection,1,1,1,1,1
A3 no retrieval,hint_projection_116,hint,projection,1,1,1,1,1
A3 no retrieval,chat_projection_117,chat,projection,1,1,1,1,1
A3 no retrieval,grade_least_squares_118,grade,least_squares,1,1,1,1,1
A3 no retrieval,hint_least_squares_119,hint,least_squares,1,0,1,0,0.5
A3 no retrieval,chat_least_squares_120,chat,least_squares,1,0,1,0,0.5
A3 no retrieval,grade_least_squares_121,grade,least_squares,1,1,1,1,1
A3 no retrieval,hint_least_squares_122,hint,least_squares,1,0,1,0,0.5
A3 no retrieval,chat_least_squares_123,chat,least_squares,1,0,1,0,0.5
A3 no retrieval,grade_least_squares_124,grade,least_squares,1,1,1,1,1
A3 no retrieval,hint_least_squares_125,hint,least_squares,1,1,1,1,1
A3 no retrieval,chat_least_squares_126,chat,least_squares,1,1,1,1,1
A3 no retrieval,grade_positive_definite_127,grade,positive_definite,1,1,1,1,1
A3 no retrieval,hint_positive_definite_128,hint,positive_definite,1,1,1,1,1
A3 no retrieval,chat_positive_definite_129,chat,positive_definite,1,0,1,0,0.5
A3 no retrieval,grade_positive_definite_130,grade,positive_definite,1,1,1,1,1
A3 no retrieval,hint_positive_definite_131,hint,positive_definite,1,1,1,1,1
A3 no retrieval,chat_positive_definite_132,chat,positive_definite,1,0,1,0,0.5
A3 no retrieval,grade_positive_definite_133,grade,positive_definite,1,1,1,1,1
A3 no retrieval,hint_positive_definite_134,hint,positive_definite,1,1,1,1,1
A3 no retrieval,chat_positive_definite_135,chat,positive_definite,1,1,1,1,1
A3 no retrieval,grade_svd_136,grade,svd,1,1,1,1,1
A3 no retrieval,hint_svd_137,hint,svd,1,1,1,1,1
A3 no retrieval,chat_svd_138,chat,svd,1,0,1,0,0.5
A3 no retrieval,grade_svd_139,grade,svd,1,1,1,1,1
A3 no retrieval,hint_svd_140,hint,svd,1,1,1,0,0.75
A3 no retrieval,chat_svd_141,chat,svd,1,0,1,0,0.5
A3 no retrieval,grade_svd_142,grade,svd,1,1,1,1,1
A3 no retrieval,hint_svd_143,hint,svd,1,1,1,1,1
A3 no retrieval,chat_svd_144,chat,svd,1,1,1,1,1
A4 no dependency propagation,grade_linear_systems_1,grade,linear_systems,1,1,1,1,1
A4 no dependency propagation,hint_linear_systems_2,hint,linear_systems,1,0,1,0,0.5
A4 no dependency propagation,chat_linear_systems_3,chat,linear_systems,1,1,1,1,1
A4 no dependency propagation,grade_linear_systems_4,grade,linear_systems,1,1,1,1,1
A4 no dependency propagation,hint_linear_systems_5,hint,linear_systems,1,1,1,1,1
A4 no dependency propagation,chat_linear_systems_6,chat,linear_systems,1,1,1,1,1
A4 no dependency propagation,grade_linear_systems_7,grade,linear_systems,1,1,1,1,1
A4 no dependency propagation,hint_linear_systems_8,hint,linear_systems,1,1,1,1,1
A4 no dependency propagation,chat_linear_systems_9,chat,linear_systems,1,1,1,1,1
A4 no dependency propagation,grade_row_reduction_10,grade,row_reduction,1,1,1,1,1
A4 no dependency propagation,hint_row_reduction_11,hint,row_reduction,1,1,1,1,1
A4 no dependency propagation,chat_row_reduction_12,chat,row_reduction,1,0,1,0,0.5
A4 no dependency propagation,grade_row_reduction_13,grade,row_reduction,1,1,1,1,1
A4 no dependency propagation,hint_row_reduction_14,hint,row_reduction,1,1,1,1,1
A4 no dependency propagation,chat_row_reduction_15,chat,row_reduction,1,1,1,1,1
A4 no dependency propagation,grade_row_reduction_16,grade,row_reduction,1,1,1,1,1
A4 no dependency propagation,hint_row_reduction_17,hint,row_reduction,1,1,1,1,1
A4 no dependency propagation,chat_row_reduction_18,chat,row_reduction,1,1,1,1,1
A4 no dependency propagation,grade_rank_19,grade,rank,1,1,1,1,1
A4 no dependency propagation,hint_rank_20,hint,rank,1,1,1,1,1
A4 no dependency propagation,chat_rank_21,chat,rank,1,0,1,0,0.5
A4 no dependency propagation,grade_rank_22,grade,rank,1,1,1,1,1
A4 no dependency propagation,hint_rank_23,hint,rank,1,1,1,1,1
A4 no dependency propagation,chat_rank_24,chat,rank,1,0,1,0,0.5
A4 no dependency propagation,grade_rank_25,grade,rank,1,1,1,1,1
A4 no dependency propagation,hint_rank_26,hint,rank,1,1,1,1,1
A4 no dependency propagation,chat_rank_27,chat,rank,1,1,1,1,1
A4 no dependency propagation,grade_nullspace_28,grade,nullspace,1,1,1,1,1
A4 no dependency propagation,hint_nullspace_29,hint,nullspace,1,1,1,1,1
A4 no dependency propagation,chat_nullspace_30,chat,nullspace,1,1,1,1,1
A4 no dependency propagation,grade_nullspace_31,grade,nullspace,1,1,1,1,1
A4 no dependency propagation,hint_nullspace_32,hint,nullspace,1,1,1,1,1
A4 no dependency propagation,chat_nullspace_33,chat,nullspace,1,0,1,0,0.5
A4 no dependency propagation,grade_nullspace_34,grade,nullspace,1,1,1,1,1
A4 no dependency propagation,hint_nullspace_35,hint,nullspace,1,1,1,1,1
A4 no dependency propagation,chat_nullspace_36,chat,nullspace,1,1,1,1,1
A4 no dependency propagation,grade_column_space_37,grade,column_space,1,1,1,1,1
A4 no dependency propagation,hint_column_space_38,hint,column_space,1,1,1,1,1
A4 no dependency propagation,chat_column_space_39,chat,column_space,1,1,1,1,1
A4 no dependency propagation,grade_column_space_40,grade,column_space,1,1,1,1,1
A4 no dependency propagation,hint_column_space_41,hint,column_space,1,1,1,1,1
A4 no dependency propagation,chat_column_space_42,chat,column_space,1,1,1,1,1
A4 no dependency propagation,grade_column_space_43,grade,column_space,1,1,1,1,1
A4 no dependency propagation,hint_column_space_44,hint,column_space,1,1,1,1,1
A4 no dependency propagation,chat_column_space_45,chat,column_space,1,1,1,1,1
A4 no dependency propagation,grade_basis_dimension_46,grade,basis_dimension,1,1,1,1,1
A4 no dependency propagation,hint_basis_dimension_47,hint,basis_dimension,1,0,1,0,0.5
A4 no dependency propagation,chat_basis_dimension_48,chat,basis_dimension,1,1,1,1,1
A4 no dependency propagation,grade_basis_dimension_49,grade,basis_dimension,1,1,1,1,1
A4 no dependency propagation,hint_basis_dimension_50,hint,basis_dimension,1,1,1,1,1
A4 no dependency propagation,chat_basis_dimension_51,chat,basis_dimension,1,0,1,0,0.5
A4 no dependency propagation,grade_basis_dimension_52,grade,basis_dimension,1,1,1,1,1
A4 no dependency propagation,hint_basis_dimension_53,hint,basis_dimension,1,1,1,1,1
A4 no dependency propagation,chat_basis_dimension_54,chat,basis_dimension,1,1,1,1,1
A4 no dependency propagation,grade_linear_maps_55,grade,linear_maps,1,1,1,1,1
A4 no dependency propagation,hint_linear_maps_56,hint,linear_maps,1,1,1,1,1
A4 no dependency propagation,chat_linear_maps_57,chat,linear_maps,1,1,1,1,1
A4 no dependency propagation,grade_linear_maps_58,grade,linear_maps,1,1,1,1,1
A4 no dependency propagation,hint_linear_maps_59,hint,linear_maps,1,1,1,1,1
A4 no dependency propagation,chat_linear_maps_60,chat,linear_maps,1,0,1,0,0.5
A4 no dependency propagation,grade_linear_maps_61,grade,linear_maps,1,1,1,1,1
A4 no dependency propagation,hint_linear_maps_62,hint,linear_maps,1,1,1,1,1
A4 no dependency propagation,chat_linear_maps_63,chat,linear_maps,1,1,1,1,1
A4 no dependency propagation,grade_change_of_basis_64,grade,change_of_basis,1,1,1,1,1
A4 no dependency propagation,hint_change_of_basis_65,hint,change_of_basis,1,1,1,1,1
A4 no dependency propagation,chat_change_of_basis_66,chat,change_of_basis,1,1,1,1,1
A4 no dependency propagation,grade_change_of_basis_67,grade,change_of_basis,1,1,1,1,1
A4 no dependency propagation,hint_change_of_basis_68,hint,change_of_basis,1,1,1,1,1
A4 no dependency propagation,chat_change_of_basis_69,chat,change_of_basis,1,1,1,1,1
A4 no dependency propagation,grade_change_of_basis_70,grade,change_of_basis,1,1,1,1,1
A4 no dependency propagation,hint_change_of_basis_71,hint,change_of_basis,1,1,1,1,1
A4 no dependency propagation,chat_change_of_basis_72,chat,change_of_basis,1,1,1,1,1
A4 no dependency propagation,grade_determinants_73,grade,determinants,1,0,1,0,0.5
A4 no dependency propagation,hint_determinants_74,hint,determinants,1,1,1,1,1
A4 no dependency propagation,chat_determinants_75,chat,determinants,1,0,1,0,0.5
A4 no dependency propagation,grade_determinants_76,grade,determinants,1,1,1,1,1
A4 no dependency propagation,hint_determinants_77,hint,determinants,1,1,1,1,1
A4 no dependency propagation,chat_determinants_78,chat,determinants,1,0,1,0,0.5
A4 no dependency propagation,grade_determinants_79,grade,determinants,1,1,1,1,1
A4 no dependency propagation,hint_determinants_80,hint,determinants,1,1,1,1,1
A4 no dependency propagation,chat_determinants_81,chat,determinants,1,1,1,1,1
A4 no dependency propagation,grade_eigenvalues_82,grade,eigenvalues,1,1,1,1,1
A4 no dependency propagation,hint_eigenvalues_83,hint,eigenvalues,1,1,1,1,1
A4 no dependency propagation,chat_eigenvalues_84,chat,eigenvalues,1,0,1,0,0.5
A4 no dependency propagation,grade_eigenvalues_85,grade,eigenvalues,1,1,1,1,1
A4 no dependency propagation,hint_eigenvalues_86,hint,eigenvalues,1,1,1,1,1
A4 no dependency propagation,chat_eigenvalues_87,chat,eigenvalues,1,0,1,0,0.5
A4 no dependency propagation,grade_eigenvalues_88,grade,eigenvalues,1,1,1,1,1
A4 no dependency propagation,hint_eigenvalues_89,hint,eigenvalues,1,0,1,0,0.5
A4 no dependency propagation,chat_eigenvalues_90,chat,eigenvalues,1,1,1,1,1
A4 no dependency propagation,grade_diagonalization_91,grade,diagonalization,1,1,1,1,1
A4 no dependency propagation,hint_diagonalization_92,hint,diagonalization,1,1,1,1,1
A4 no dependency propagation,chat_diagonalization_93,chat,diagonalization,1,0,1,0,0.5
A4 no dependency propagation,grade_diagonalization_94,grade,diagonalization,1,1,1,1,1
A4 no dependency propagation,hint_diagonalization_95,hint,diagonalization,1,0,1,0,0.5
A4 no dependency propagation,chat_diagonalization_96,chat,diagonalization,1,1,1,1,1
A4 no dependency propagation,grade_diagonalization_97,grade,diagonalization,1,1,1,1,1
A4 no dependency propagation,hint_diagonalization_98,hint,diagonalization,1,1,1,1,1
A4 no dependency propagation,chat_diagonalization_99,chat,diagonalization,1,1,1,1,1
A4 no dependency propagation,grade_orthogonality_100,grade,orthogonality,1,1,1,1,1
A4 no dependency propagation,hint_orthogonality_101,hint,orthogonality,1,1,1,1,1
A4 no dependency propagation,chat_orthogonality_102,chat,orthogonality,1,1,1,1,1
A4 no dependency propagation,grade_orthogonality_103,grade,orthogonality,1,1,1,1,1
A4 no dependency propagation,hint_orthogonality_104,hint,orthogonality,1,1,1,1,1
A4 no dependency propagation,chat_orthogonality_105,chat,orthogonality,1,1,1,1,1
A4 no dependency propagation,grade_orthogonality_106,grade,orthogonality,1,1,1,1,1
A4 no dependency propagation,hint_orthogonality_107,hint,orthogonality,1,1,1,1,1
A4 no dependency propagation,chat_orthogonality_108,chat,orthogonality,1,1,1,1,1
A4 no dependency propagation,grade_projection_109,grade,projection,1,1,1,1,1
A4 no dependency propagation,hint_projection_110,hint,projection,1,1,1,1,1
A4 no dependency propagation,chat_projection_111,chat,projection,1,1,1,1,1
A4 no dependency propagation,grade_projection_112,grade,projection,1,1,1,1,1
A4 no dependency propagation,hint_projection_113,hint,projection,1,1,1,1,1
A4 no dependency propagation,chat_projection_114,chat,projection,1,1,1,1,1
A4 no dependency propagation,grade_projection_115,grade,projection,1,1,1,1,1
A4 no dependency propagation,hint_projection_116,hint,projection,1,1,1,1,1
A4 no dependency propagation,chat_projection_117,chat,projection,1,1,1,1,1
A4 no dependency propagation,grade_least_squares_118,grade,least_squares,1,1,1,1,1
A4 no dependency propagation,hint_least_squares_119,hint,least_squares,1,0,1,0,0.5
A4 no dependency propagation,chat_least_squares_120,chat,least_squares,1,0,1,0,0.5
A4 no dependency propagation,grade_least_squares_121,grade,least_squares,1,1,1,1,1
A4 no dependency propagation,hint_least_squares_122,hint,least_squares,1,0,1,0,0.5
A4 no dependency propagation,chat_least_squares_123,chat,least_squares,1,0,1,0,0.5
A4 no dependency propagation,grade_least_squares_124,grade,least_squares,1,1,1,1,1
A4 no dependency propagation,hint_least_squares_125,hint,least_squares,1,1,1,1,1
A4 no dependency propagation,chat_least_squares_126,chat,least_squares,1,1,1,1,1
A4 no dependency propagation,grade_positive_definite_127,grade,positive_definite,1,1,1,1,1
A4 no dependency propagation,hint_positive_definite_128,hint,positive_definite,1,1,1,1,1
A4 no dependency propagation,chat_positive_definite_129,chat,positive_definite,1,0,1,0,0.5
A4 no dependency propagation,grade_positive_definite_130,grade,positive_definite,1,1,1,1,1
A4 no dependency propagation,hint_positive_definite_131,hint,positive_definite,1,1,1,1,1
A4 no dependency propagation,chat_positive_definite_132,chat,positive_definite,1,0,1,0,0.5
A4 no dependency propagation,grade_positive_definite_133,grade,positive_definite,1,1,1,1,1
A4 no dependency propagation,hint_positive_definite_134,hint,positive_definite,1,1,1,1,1
A4 no dependency propagation,chat_positive_definite_135,chat,positive_definite,1,1,1,1,1
A4 no dependency propagation,grade_svd_136,grade,svd,1,1,1,1,1
A4 no dependency propagation,hint_svd_137,hint,svd,1,1,1,1,1
A4 no dependency propagation,chat_svd_138,chat,svd,1,0,1,0,0.5
A4 no dependency propagation,grade_svd_139,grade,svd,1,1,1,1,1
A4 no dependency propagation,hint_svd_140,hint,svd,1,1,1,0,0.75
A4 no dependency propagation,chat_svd_141,chat,svd,1,0,1,0,0.5
A4 no dependency propagation,grade_svd_142,grade,svd,1,1,1,1,1
A4 no dependency propagation,hint_svd_143,hint,svd,1,1,1,1,1
A4 no dependency propagation,chat_svd_144,chat,svd,1,1,1,1,1
A5 no IRT adaptation,grade_linear_systems_1,grade,linear_systems,1,1,1,1,1
A5 no IRT adaptation,hint_linear_systems_2,hint,linear_systems,1,0,1,0,0.5
A5 no IRT adaptation,chat_linear_systems_3,chat,linear_systems,1,1,1,1,1
A5 no IRT adaptation,grade_linear_systems_4,grade,linear_systems,1,1,1,1,1
